article,basic,article (crossentropy)
0.5,0.7314814814814815,0.7257495590828924
0.7189153439153438,0.7416225749559082,0.7164902998236331
0.7195767195767195,0.7151675485008818,0.7182539682539683
0.7231040564373897,0.7328042328042328,0.7107583774250441
0.7231040564373897,0.7253086419753086,0.7120811287477954
0.7200176366843033,0.7389770723104057,0.7094356261022927
0.7222222222222222,0.7310405643738976,0.699294532627866
0.5,0.7341269841269842,0.7120811287477954
0.7319223985890653,0.7208994708994709,0.716931216931217
0.5473985890652557,0.7067901234567902,0.708994708994709
0.7246472663139331,0.728395061728395,0.7098765432098765
0.5,0.7332451499118166,0.7107583774250441
0.5,0.7367724867724867,0.7149470899470899
0.5608465608465608,0.7297178130511464,0.7235449735449735
0.7134038800705467,0.7398589065255732,0.7200176366843034
0.4748677248677249,0.7345679012345678,0.6904761904761904
0.5,0.7305996472663139,0.7208994708994708
0.7182539682539683,0.7350088183421516,0.7052469135802468
0.5690035273368607,0.7156084656084656,0.7037037037037036
0.7098765432098766,0.7473544973544972,0.7169312169312169
0.5,0.7402998236331569,0.7213403880070546
0.7213403880070547,0.7535273368606702,0.7142857142857143
0.34479717813051136,0.7548500881834215,0.7173721340388007
0.7253086419753086,0.7526455026455026,0.708994708994709
0.5,0.7350088183421516,0.7063492063492063
